Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A14	14.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A16	15.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A12	15.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A4	17.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A13	18.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A7	20.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A15	20.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A21	1.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A19	2.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A3	7.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A10	8.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A5	8.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A11	8.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A8	8.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A9	9.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2	9.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A20	9.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A6	9.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A18	10.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A16	11.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A14	11.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A1	12.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A13	12.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A4	14.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A17	14.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A12	17.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A15	19.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A7	20.9
